 Number,Item,Item Count,Location,Transaction Name,Date
TT22E08010248,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010248,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010250,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010250,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010251,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2931,2/7/2023
TT22E08010251,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010253,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2414,12/28/2022
TT22E08010253,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010254,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2400,12/27/2022
TT22E08010254,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010255,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010255,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010256,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2400,12/27/2022
TT22E08010256,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010257,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010257,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010259,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
TT22E08010259,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010260,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2409,12/28/2022
TT22E08010260,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR2985,2/23/2023
TT22E08010261,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2931,2/7/2023
TT22E08010261,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010262,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2409,12/28/2022
TT22E08010262,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3056,3/13/2023
TT22E08010262,DE-E18-GRAY-S/M,1,Stock-TX,Inventory Transfer #IT2059,8/4/2023
TT22E08010263,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2931,2/7/2023
TT22E08010263,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010264,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2414,12/28/2022
TT22E08010264,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010269,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2931,2/7/2023
TT22E08010269,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3103,3/30/2023
TT22E08010270,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2414,12/28/2022
TT22E08010270,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010271,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2931,2/7/2023
TT22E08010271,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3081,3/21/2023
TT22E08010274,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2409,12/28/2022
TT22E08010274,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3056,3/13/2023
TT22E08010274,DE-E18-GRAY-S/M,1,Stock-TX,Inventory Transfer #IT2059,8/4/2023
TT22E08010277,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2409,12/28/2022
TT22E08010277,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR2985,2/23/2023
TT22E08010278,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2414,12/28/2022
TT22E08010278,DE-E18-GRAY-S/M,1,Irving : Stock-TX,Item Receipt #IR3183,4/24/2023
TT22E08010280,DE-E18-GRAY-S/M,1,1375ONT-CA,Item Receipt #IR2918,2/6/2023
